Open,High,Low,Close,Volume,Datetime,Tarih,Saat
328.5,329.0,328.25,328.5,220567.0,2026-07-01 12:05:00+03:00,2026-07-01,12:05:00
328.5,328.75,328.5,328.75,30603.0,2026-07-01 12:10:00+03:00,2026-07-01,12:10:00
328.75,328.75,328.5,328.5,83972.0,2026-07-01 12:15:00+03:00,2026-07-01,12:15:00
328.5,329.0,328.5,329.0,220715.0,2026-07-01 12:20:00+03:00,2026-07-01,12:20:00
328.75,329.0,328.75,329.0,36656.0,2026-07-01 12:25:00+03:00,2026-07-01,12:25:00
328.75,329.0,328.25,328.25,518846.0,2026-07-01 12:30:00+03:00,2026-07-01,12:30:00
328.5,328.75,328.25,328.5,574500.0,2026-07-01 12:35:00+03:00,2026-07-01,12:35:00
328.5,328.75,328.25,328.5,432573.0,2026-07-01 12:40:00+03:00,2026-07-01,12:40:00
328.5,329.0,328.0,329.0,740527.0,2026-07-01 12:45:00+03:00,2026-07-01,12:45:00
329.0,329.5,328.75,329.5,487471.0,2026-07-01 12:50:00+03:00,2026-07-01,12:50:00
329.5,329.5,329.0,329.25,333449.0,2026-07-01 12:55:00+03:00,2026-07-01,12:55:00
329.25,330.0,329.0,329.75,831699.0,2026-07-01 13:00:00+03:00,2026-07-01,13:00:00
329.5,330.0,329.5,330.0,1092646.0,2026-07-01 13:05:00+03:00,2026-07-01,13:05:00
330.0,330.0,329.75,329.75,330444.0,2026-07-01 13:10:00+03:00,2026-07-01,13:10:00
330.0,331.0,329.75,330.75,1998954.0,2026-07-01 13:15:00+03:00,2026-07-01,13:15:00
331.0,331.0,329.5,330.25,580475.0,2026-07-01 13:20:00+03:00,2026-07-01,13:20:00
330.25,330.5,330.0,330.5,551788.0,2026-07-01 13:25:00+03:00,2026-07-01,13:25:00
330.5,331.25,330.5,331.25,758236.0,2026-07-01 13:30:00+03:00,2026-07-01,13:30:00
331.0,331.25,330.75,331.0,412379.0,2026-07-01 13:35:00+03:00,2026-07-01,13:35:00
331.0,331.25,330.75,331.25,310400.0,2026-07-01 13:40:00+03:00,2026-07-01,13:40:00
331.25,331.25,330.75,331.25,285622.0,2026-07-01 13:45:00+03:00,2026-07-01,13:45:00
331.0,331.5,331.0,331.25,669200.0,2026-07-01 13:50:00+03:00,2026-07-01,13:50:00
331.25,331.5,329.25,329.75,1264481.0,2026-07-01 13:55:00+03:00,2026-07-01,13:55:00
329.75,330.0,329.5,329.75,355714.0,2026-07-01 14:00:00+03:00,2026-07-01,14:00:00
329.75,330.0,329.5,329.75,377422.0,2026-07-01 14:05:00+03:00,2026-07-01,14:05:00
329.5,329.75,329.5,329.75,41172.0,2026-07-01 14:10:00+03:00,2026-07-01,14:10:00
329.5,329.75,329.25,329.75,377645.0,2026-07-01 14:15:00+03:00,2026-07-01,14:15:00
329.75,330.0,329.25,330.0,398331.0,2026-07-01 14:20:00+03:00,2026-07-01,14:20:00
329.75,331.0,329.75,330.5,2640987.0,2026-07-01 14:25:00+03:00,2026-07-01,14:25:00
330.5,330.75,330.25,330.75,521062.0,2026-07-01 14:30:00+03:00,2026-07-01,14:30:00
330.5,331.0,330.25,331.0,750528.0,2026-07-01 14:35:00+03:00,2026-07-01,14:35:00
331.0,331.0,330.25,330.5,747679.0,2026-07-01 14:40:00+03:00,2026-07-01,14:40:00
330.75,331.0,330.25,330.25,252785.0,2026-07-01 14:45:00+03:00,2026-07-01,14:45:00
330.5,330.5,330.0,330.25,259418.0,2026-07-01 14:50:00+03:00,2026-07-01,14:50:00
330.0,330.5,329.75,330.0,369712.0,2026-07-01 14:55:00+03:00,2026-07-01,14:55:00
329.75,330.25,329.5,329.75,316637.0,2026-07-01 15:00:00+03:00,2026-07-01,15:00:00
329.5,330.0,329.5,329.75,180231.0,2026-07-01 15:05:00+03:00,2026-07-01,15:05:00
329.75,330.75,329.75,330.25,453639.0,2026-07-01 15:10:00+03:00,2026-07-01,15:10:00
330.0,330.25,329.75,330.0,144016.0,2026-07-01 15:15:00+03:00,2026-07-01,15:15:00
330.0,330.0,329.5,330.0,313842.0,2026-07-01 15:20:00+03:00,2026-07-01,15:20:00
330.0,330.0,329.75,329.75,23774.0,2026-07-01 15:25:00+03:00,2026-07-01,15:25:00
329.75,330.0,329.5,329.75,268204.0,2026-07-01 15:30:00+03:00,2026-07-01,15:30:00
329.75,330.25,329.5,330.25,257863.0,2026-07-01 15:35:00+03:00,2026-07-01,15:35:00
330.0,330.25,330.0,330.0,195531.0,2026-07-01 15:40:00+03:00,2026-07-01,15:40:00
330.0,330.25,330.0,330.25,18296.0,2026-07-01 15:45:00+03:00,2026-07-01,15:45:00
330.25,330.25,329.75,329.75,265719.0,2026-07-01 15:50:00+03:00,2026-07-01,15:50:00
330.0,330.0,329.25,329.25,733511.0,2026-07-01 15:55:00+03:00,2026-07-01,15:55:00
329.25,329.5,328.5,328.75,710813.0,2026-07-01 16:00:00+03:00,2026-07-01,16:00:00
328.5,328.75,327.5,328.0,945504.0,2026-07-01 16:05:00+03:00,2026-07-01,16:05:00
328.25,328.75,328.0,328.5,205366.0,2026-07-01 16:10:00+03:00,2026-07-01,16:10:00
328.75,329.0,328.25,329.0,262753.0,2026-07-01 16:15:00+03:00,2026-07-01,16:15:00
329.0,329.25,328.75,328.75,420183.0,2026-07-01 16:20:00+03:00,2026-07-01,16:20:00
