ticker,name,city
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,ANKARA
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DENİZLİ
BTCIM,BATIÇİM BATI ANADOLU SANAYİ VE TİCARET A.Ş.,İZMİR
BSOKE,BATIÇİM ÇİMENTO SANAYİ A.Ş.,İZMİR
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,İZMİR
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,İSTANBUL
BERA,BERA HOLDİNG A.Ş.,KONYA
BRKT,BEREKET VARLIK KİRALAMA A.Ş.,İSTANBUL
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,İSTANBUL
BESLR,BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.,İSTANBUL
BESTE,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş.,İSTANBUL
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,İSTANBUL
BETAE,BETA ENERJİ VE TEKNOLOJİ A.Ş.,ADANA
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,ANKARA
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,ANKARA
BIGTK,BİG MEDYA TEKNOLOJİ A.Ş.,İSTANBUL
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,ADANA
BLKOM,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,İSTANBUL
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,İSTANBUL
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,İSTANBUL
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,İSTANBUL
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,İSTANBUL
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,NİĞDE
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,İSTANBUL
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,İSTANBUL
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,KAYSERİ
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,İSTANBUL
BLUME,BLUME METAL KİMYA A.Ş.,İSTANBUL
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,MANİSA
BNPPI,BNP PARIBAS ISSUANCE B.V.,
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,İSTANBUL
BORSK,BOR ŞEKER A.Ş.,İSTANBUL
BORLS,BORLEASE OTOMOTİV A.Ş.,İSTANBUL
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,İSTANBUL
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL
